datetime,station1_PM2.5
2022-12-19T01:00:00.000000+0000,8.25638044760484
2022-12-19T02:00:00.000000+0000,8.264927848030961
2022-12-19T03:00:00.000000+0000,8.199979106811476
2022-12-19T04:00:00.000000+0000,8.258197980852326
2022-12-19T05:00:00.000000+0000,8.296917104507482
2022-12-19T06:00:00.000000+0000,8.295917105766454
2022-12-19T07:00:00.000000+0000,8.300807468721027
2022-12-19T08:00:00.000000+0000,8.367728554938829
2022-12-19T09:00:00.000000+0000,8.425329570230492
2022-12-19T10:00:00.000000+0000,8.492534158063037
2022-12-19T11:00:00.000000+0000,8.966024921824609
2022-12-19T12:00:00.000000+0000,9.387901287087363
2022-12-19T13:00:00.000000+0000,9.465348456692139
2022-12-19T14:00:00.000000+0000,9.042411701595798
2022-12-19T15:00:00.000000+0000,9.039209252057972
2022-12-19T16:00:00.000000+0000,9.09128585223177
2022-12-19T17:00:00.000000+0000,9.09408097918794
2022-12-19T18:00:00.000000+0000,9.08177792866438
2022-12-19T19:00:00.000000+0000,9.159725675583573
2022-12-19T20:00:00.000000+0000,9.115778375507059
2022-12-19T21:00:00.000000+0000,8.769932518696525
2022-12-19T22:00:00.000000+0000,8.643646879069424
2022-12-19T23:00:00.000000+0000,8.647545789807642
2022-12-20T00:00:00.000000+0000,8.652487947746778
